CFX,gene:plasmid:141426,plasmid,42,Donor & PostFMT Only
ERMX,gene:plasmid:14929,likely IS/TE,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,likely IS/TE,42,Donor & PostFMT Only
ERMX,gene:plasmid:14930,likely IS/TE,43,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,44,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,45,Donor & PostFMT Only
MEFE,gene:plasmid:141426,plasmid,45,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,46,Donor & PostFMT Only
TETQ,ICEberg|58|ICEBfrYCH46-1|Ge...,ICE,46,Donor & PostFMT Only
CFX,gene:plasmid:141426,plasmid,48,Donor & PostFMT Only
ASR,gene:proph:183581,prophage,55,Donor & PostFMT Only
COPA,gene:plasmid:88435,plasmid,55,Donor & PostFMT Only
COPA,gene:plasmid:88436,plasmid,55,Donor & PostFMT Only
COPA,gene:plasmid:88437,plasmid,55,Donor & PostFMT Only
COPA,gene:proph:179486,prophage,55,Donor & PostFMT Only
COPA,gene:proph:181087,prophage,55,Donor & PostFMT Only
COPA,gene:proph:181113,prophage,55,Donor & PostFMT Only
COPA,gene:vir:4533,virus,55,Donor & PostFMT Only
COPA,gene:vir:4534,virus,55,Donor & PostFMT Only
COPA,gene:vir:4536,virus,55,Donor & PostFMT Only
COPA,gene:vir:4537,virus,55,Donor & PostFMT Only
COPA,gene:vir:4547,virus,55,Donor & PostFMT Only
CORA,gene:plasmid:24561,plasmid,55,Donor & PostFMT Only
DNAK,gene:plasmid:158140,plasmid,55,Donor & PostFMT Only
DSBC,gene:plasmid:123177,likely IS/TE,55,Donor & PostFMT Only
DSBC,gene:plasmid:151300,likely IS/TE,55,Donor & PostFMT Only
EMRD,gene:proph:179438,prophage,55,Donor & PostFMT Only
FECD,gene:plasmid:114202,likely IS/TE,55,Donor & PostFMT Only
FECD,gene:plasmid:142025,likely IS/TE,55,Donor & PostFMT Only
TETA,gene:plasmid:121923,likely IS/TE,55,Donor & PostFMT Only
